name,parent,weight
Antimycobacterials Other,Antimycobacterials,
Alkylating Agents,Antineoplastics,
Antiandrogens,Antineoplastics,
Antiangiogenic Agents,Antineoplastics,
Antiestrogens/Modifiers,Antineoplastics,
Antimetabolites,Antineoplastics,
Aromatase Inhibitors 3rd Generation,Antineoplastics,
Enzyme Inhibitors,Antineoplastics,
Molecular Target Inhibitors,Antineoplastics,
Monoclonal Antibodies,Antineoplastics,
Retinoids,Antineoplastics,
Antineoplastics Other,Antineoplastics,
Anthelmintics,Antiparasitics,
Antiprotozoals,Antiparasitics,
Pediculicides/Scabicides,Antiparasitics,
Anticholinergics,Antiparkinson Agents,
Dopamine Agonists,Antiparkinson Agents,
Dopamine Precursors/L-Amino Acid Decarboxylase Inhibitors,Antiparkinson Agents,
Monoamine Oxidase B (MAO-B) Inhibitors,Antiparkinson Agents,
Antiparkinson Agents Other,Antiparkinson Agents,
1st Generation/Typical,Antipsychotics,
2nd Generation/Atypical,Antipsychotics,
Treatment-Resistant,Antipsychotics,
Anti-cytomegalovirus (CMV) Agents,Antivirals,
Anti-hepatitis B (HBV) Agents,Antivirals,
Anti-hepatitis C (HCV) Agents,Antivirals,
Antiherpetic Agents,Antivirals,
NNRTI,Antivirals,
NRTI,Antivirals,
Anti-HIV Agents,Antivirals,
INSTI,Antivirals,
Anti-HIV Agents - Other,Antivirals,
Anti-influenza Agents,Antivirals,
Benzodiazepines,Anxiolytics,
Mood Stabilizers,Bipolar Agents,
Antidiabetic Agents,Blood Glucose Regulators,
Glycemic Agents,Blood Glucose Regulators,
Insulins,Blood Glucose Regulators,
Anticoagulants,Blood Products/Modifiers/Volume Expanders,
Blood Formation Modifiers,Blood Products/Modifiers/Volume Expanders,
Coagulants,Blood Products/Modifiers/Volume Expanders,
Platelet Modifying Agents,Blood Products/Modifiers/Volume Expanders,
Alpha-adrenergic Agonists,Cardiovascular Agents,
Alpha-adrenergic Blocking Agents,Cardiovascular Agents,
Angiotensin-converting Enzyme (ACE) Inhibitors,Cardiovascular Agents,
Angiotensin II Receptor Antagonists,Cardiovascular Agents,
Antiarrhythmics,Cardiovascular Agents,
Beta-adrenergic Blocking Agents,Cardiovascular Agents,
Calcium Channel Blocking Agents,Cardiovascular Agents,
Diuretics Carbonic Anhydrase Inhibitors,Cardiovascular Agents,
Diuretics Loop,Cardiovascular Agents,
Diuretics Potassium-sparing,Cardiovascular Agents,
Diuretics Thiazide,Cardiovascular Agents,
Dyslipidemics Fibric Acid Derivatives,Cardiovascular Agents,
Dyslipidemics HMG CoA Reductase Inhibitors,Cardiovascular Agents,
Dyslipidemics Other,Cardiovascular Agents,
Vasodilators Direct-acting Arterial,Cardiovascular Agents,
Vasodilators Direct-acting Arterial/Venous,Cardiovascular Agents,
Cardiovascular Agents Other,Cardiovascular Agents,
Attention Deficit Hyperactivity Disorder Agents Amphetamines,Central Nervous System Agents,
Attention Deficit Hyperactivity Disorder Agents Non- amphetamines,Central Nervous System Agents,
Fibromyalgia Agents,Central Nervous System Agents,
Multiple Sclerosis Agents,Central Nervous System Agents,
Central Nervous System,Central Nervous System Agents,
Antispasmodics Gastrointestinal,Gastrointestinal Agents,
Histamine2 (H2) receptor Antagonists,Gastrointestinal Agents,
Irritable Bowel Syndrome Agents,Gastrointestinal Agents,
Laxatives,Gastrointestinal Agents,
Protectants,Gastrointestinal Agents,
Proton Pump Inhibitors,Gastrointestinal Agents,
Gastrointestinal Agents Other,Gastrointestinal Agents,
Antispasmodics Urinary,Genitourinary Agents,
Benign Prostatic Hypertrophy Agents,Genitourinary Agents,
Phosphate Binders,Genitourinary Agents,
Genitourinary Agents Other,Genitourinary Agents,
Anabolic Steroids,Hormonal Agents,
Androgens,Hormonal Agents,
Estrogens,Hormonal Agents,
Progesterone Agonists/Antagonists,Hormonal Agents,
Progestins,Hormonal Agents,
Selective Estrogen Receptor Modifying Agents,Hormonal Agents,
Antithyroid Agents,Hormonal Agents - Suppressant (Thyroid),
Angioedema (HAE) Agents,Immunological Agents,
Immune Suppressants,Immunological Agents,
Immunizing Agents Passive,Immunological Agents,
Immunomodulators,Immunological Agents,
Vaccines,Immunological Agents,
Glucocorticoids,Inflammatory Bowel Disease Agents,
Aminosalicylates,Inflammatory Bowel Disease Agents,
Ophthalmic Anti-allergy Agents,Ophthalmic Agents,
Ophthalmic Antiglaucoma Agents,Ophthalmic Agents,
Ophthalmic Anti-inflammatories,Ophthalmic Agents,
Ophthalmic Prostaglandin and Prostamide Analogs,Ophthalmic Agents,
Ophthalmic Agents Other,Ophthalmic Agents,
Antihistamines,Respiratory Tract/Pulmonary Agents,
Anti-inflammatories Inhaled Corticosteroids,Respiratory Tract/Pulmonary Agents,
Antileukotrienes,Respiratory Tract/Pulmonary Agents,
Bronchodilators Anticholinergic,Respiratory Tract/Pulmonary Agents,
Bronchodilators Sympathomimetic,Respiratory Tract/Pulmonary Agents,
Cystic Fibrosis Agents,Respiratory Tract/Pulmonary Agents,
Mast Cell Stabilizers,Respiratory Tract/Pulmonary Agents,
Phosphodiesterase Inhibitors Airways Disease,Respiratory Tract/Pulmonary Agents,
Pulmonary Antihypertensives,Respiratory Tract/Pulmonary Agents,
Respiratory Tract Agents Other,Respiratory Tract/Pulmonary Agents,
GABA Receptor Modulators,Sleep Disorder Agents,
Sleep Disorders Other,Sleep Disorder Agents,
Electrolyte/Mineral Modifiers,Therapeutic Nutrients/Minerals/Electrolytes,
Electrolyte/Mineral Replacement,Therapeutic Nutrients/Minerals/Electrolytes,
celecoxib,Nonsteroidal Anti-inflammatory Drugs,
diclofenac,Nonsteroidal Anti-inflammatory Drugs,
diclofenac,Nonsteroidal Anti-inflammatory Drugs,
diclofenac,Nonsteroidal Anti-inflammatory Drugs,
diclofenac,Nonsteroidal Anti-inflammatory Drugs,
diclofenac,Nonsteroidal Anti-inflammatory Drugs,
diclofenac,Nonsteroidal Anti-inflammatory Drugs,
diflunisal,Nonsteroidal Anti-inflammatory Drugs,
etodolac,Nonsteroidal Anti-inflammatory Drugs,
fenoprofen,Nonsteroidal Anti-inflammatory Drugs,
fenoprofen,Nonsteroidal Anti-inflammatory Drugs,
flurbiprofen,Nonsteroidal Anti-inflammatory Drugs,
flurbiprofen,Nonsteroidal Anti-inflammatory Drugs,
flurbiprofen,Nonsteroidal Anti-inflammatory Drugs,
flurbiprofen,Nonsteroidal Anti-inflammatory Drugs,
ibuprofen,Nonsteroidal Anti-inflammatory Drugs,
ibuprofen,Nonsteroidal Anti-inflammatory Drugs,
ibuprofen,Nonsteroidal Anti-inflammatory Drugs,
ibuprofen,Nonsteroidal Anti-inflammatory Drugs,
ibuprofen,Nonsteroidal Anti-inflammatory Drugs,
ibuprofen,Nonsteroidal Anti-inflammatory Drugs,
ibuprofen,Nonsteroidal Anti-inflammatory Drugs,
indomethacin,Nonsteroidal Anti-inflammatory Drugs,
indomethacin,Nonsteroidal Anti-inflammatory Drugs,
ketoprofen,Nonsteroidal Anti-inflammatory Drugs,
ketoprofen,Nonsteroidal Anti-inflammatory Drugs,
ketoprofen,Nonsteroidal Anti-inflammatory Drugs,
ketorolac,Nonsteroidal Anti-inflammatory Drugs,
ketorolac,Nonsteroidal Anti-inflammatory Drugs,
meclofenamate,Nonsteroidal Anti-inflammatory Drugs,
meclofenamate,Nonsteroidal Anti-inflammatory Drugs,
meclofenamate,Nonsteroidal Anti-inflammatory Drugs,
mefenamic acid,Nonsteroidal Anti-inflammatory Drugs,
meloxicam,Nonsteroidal Anti-inflammatory Drugs,
nabumetone,Nonsteroidal Anti-inflammatory Drugs,
naproxen,Nonsteroidal Anti-inflammatory Drugs,
naproxen,Nonsteroidal Anti-inflammatory Drugs,
naproxen,Nonsteroidal Anti-inflammatory Drugs,
oxaprozin,Nonsteroidal Anti-inflammatory Drugs,
piroxicam,Nonsteroidal Anti-inflammatory Drugs,
piroxicam,Nonsteroidal Anti-inflammatory Drugs,
piroxicam,Nonsteroidal Anti-inflammatory Drugs,
piroxicam,Nonsteroidal Anti-inflammatory Drugs,
sulindac,Nonsteroidal Anti-inflammatory Drugs,
tolmetin,Nonsteroidal Anti-inflammatory Drugs,
tolmetin,Nonsteroidal Anti-inflammatory Drugs,
hydromorphone,Opioid Analgesics,
hydromorphone,Opioid Analgesics,
fentanyl,Opioid Analgesics,
fentanyl,Opioid Analgesics,
levorphanol,Opioid Analgesics,
levorphanol,Opioid Analgesics,
methadone,Opioid Analgesics,
methadone,Opioid Analgesics,
morphine,Opioid Analgesics,
morphine,Opioid Analgesics,
morphine,Opioid Analgesics,
morphine,Opioid Analgesics,
oxycodone,Opioid Analgesics,
oxycodone,Opioid Analgesics,
oxycodone,Opioid Analgesics,
oxycodone,Opioid Analgesics,
oxycodone,Opioid Analgesics,
oxymorphone,Opioid Analgesics,
oxymorphone,Opioid Analgesics,
tramadol,Opioid Analgesics,
tramadol,Opioid Analgesics,
butorphanol,Short-acting Opioid Analgesics,
butorphanol,Short-acting Opioid Analgesics,
codeine,Short-acting Opioid Analgesics,
codeine,Short-acting Opioid Analgesics,
codeine,Short-acting Opioid Analgesics,
codeine,Short-acting Opioid Analgesics,
codeine,Short-acting Opioid Analgesics,
fentanyl,Short-acting Opioid Analgesics,
fentanyl,Short-acting Opioid Analgesics,
hydromorphone,Short-acting Opioid Analgesics,
hydromorphone,Short-acting Opioid Analgesics,
meperidine,Short-acting Opioid Analgesics,
meperidine,Short-acting Opioid Analgesics,
nalbuphine,Short-acting Opioid Analgesics,
nalbuphine,Short-acting Opioid Analgesics,
oxycodone,Short-acting Opioid Analgesics,
oxycodone,Short-acting Opioid Analgesics,
oxycodone,Short-acting Opioid Analgesics,
oxycodone,Short-acting Opioid Analgesics,
oxycodone,Short-acting Opioid Analgesics,
oxymorphone,Short-acting Opioid Analgesics,
oxymorphone,Short-acting Opioid Analgesics,
pentazocine,Short-acting Opioid Analgesics,
pentazocine,Short-acting Opioid Analgesics,
pentazocine,Short-acting Opioid Analgesics,
tapentadol,Short-acting Opioid Analgesics,
tapentadol,Short-acting Opioid Analgesics,
tramadol,Short-acting Opioid Analgesics,
tramadol,Short-acting Opioid Analgesics,
lidocaine,Local Anesthetics,
lidocaine,Local Anesthetics,
lidocaine,Local Anesthetics,
lidocaine and prilocaine,Local Anesthetics,
acamprosate,Alcohol Deterrents/Anti-craving,
acamprosate,Alcohol Deterrents/Anti-craving,
disulfiram,Alcohol Deterrents/Anti-craving,
naltrexone,Alcohol Deterrents/Anti-craving,
naltrexone,Alcohol Deterrents/Anti-craving,
buprenorphine,Opioid Dependence Treatments,
buprenorphine,Opioid Dependence Treatments,
buprenorphine/naloxone,Opioid Dependence Treatments,
naltrexone,Opioid Dependence Treatments,
naltrexone,Opioid Dependence Treatments,
naloxone,Opioid Reversal Agents,
naloxone,Opioid Reversal Agents,
bupropion,Smoking Cessation Agents,
bupropion,Smoking Cessation Agents,
bupropion,Smoking Cessation Agents,
nicotine,Smoking Cessation Agents,
nicotine,Smoking Cessation Agents,
nicotine,Smoking Cessation Agents,
varenicline,Smoking Cessation Agents,
varenicline,Smoking Cessation Agents,
amikacin,Aminoglycosides,
amikacin,Aminoglycosides,
gentamicin,Aminoglycosides,
gentamicin,Aminoglycosides,
kanamycin,Aminoglycosides,
kanamycin,Aminoglycosides,
neomycin,Aminoglycosides,
neomycin,Aminoglycosides,
neomycin,Aminoglycosides,
neomycin,Aminoglycosides,
paromomycin,Aminoglycosides,
paromomycin,Aminoglycosides,
streptomycin,Aminoglycosides,
streptomycin,Aminoglycosides,
tobramycin,Aminoglycosides,
tobramycin,Aminoglycosides,
cefadroxil,Beta-lactam Cephalosporins,
cefadroxil,Beta-lactam Cephalosporins,
cefazolin,Beta-lactam Cephalosporins,
cefazolin,Beta-lactam Cephalosporins,
cefazolin,Beta-lactam Cephalosporins,
cephalexin,Beta-lactam Cephalosporins,
cephalexin,Beta-lactam Cephalosporins,
cephalexin,Beta-lactam Cephalosporins,
cefaclor,Beta-lactam Cephalosporins,
cefaclor,Beta-lactam Cephalosporins,
cefoxitin,Beta-lactam Cephalosporins,
cefoxitin,Beta-lactam Cephalosporins,
cefprozil,Beta-lactam Cephalosporins,
cefprozil,Beta-lactam Cephalosporins,
cefuroxime,Beta-lactam Cephalosporins,
cefuroxime,Beta-lactam Cephalosporins,
cefuroxime,Beta-lactam Cephalosporins,
cefuroxime,Beta-lactam Cephalosporins,
cefdinir,Beta-lactam Cephalosporins,
cefditoren,Beta-lactam Cephalosporins,
cefditoren,Beta-lactam Cephalosporins,
cefixime,Beta-lactam Cephalosporins,
cefixime,Beta-lactam Cephalosporins,
cefotaxime,Beta-lactam Cephalosporins,
cefotaxime,Beta-lactam Cephalosporins,
cefpodoxime,Beta-lactam Cephalosporins,
cefpodoxime,Beta-lactam Cephalosporins,
ceftazidime,Beta-lactam Cephalosporins,
ceftazidime,Beta-lactam Cephalosporins,
ceftibuten,Beta-lactam Cephalosporins,
ceftibuten,Beta-lactam Cephalosporins,
ceftriaxone,Beta-lactam Cephalosporins,
ceftriaxone,Beta-lactam Cephalosporins,
cefepime,Beta-lactam Cephalosporins,
cefepime,Beta-lactam Cephalosporins,
ceftaroline,Beta-lactam Cephalosporins,
amoxicillin,Beta-lactam Penicillins,
amoxicillin,Beta-lactam Penicillins,
amoxicillin,Beta-lactam Penicillins,
amoxicillin and clavulanate potassium,Beta-lactam Penicillins,
ampicillin,Beta-lactam Penicillins,
ampicillin,Beta-lactam Penicillins,
ampicillin,Beta-lactam Penicillins,
ampicillin,Beta-lactam Penicillins,
ampicillin sodium and sulbactam sodium,Beta-lactam Penicillins,
piperacillin,Beta-lactam Penicillins,
piperacillin,Beta-lactam Penicillins,
piperacillin,Beta-lactam Penicillins,
penicillin g,Beta-lactam Penicillins,
penicillin g,Beta-lactam Penicillins,
penicillin g,Beta-lactam Penicillins,
penicillin g,Beta-lactam Penicillins,
penicillin g,Beta-lactam Penicillins,
penicillin g,Beta-lactam Penicillins,
penicillin v,Beta-lactam Penicillins,
penicillin v,Beta-lactam Penicillins,
penicillin v,Beta-lactam Penicillins,
penicillin v,Beta-lactam Penicillins,
penicillin v,Beta-lactam Penicillins,
penicillin v,Beta-lactam Penicillins,
dicloxacillin,Beta-lactam Penicillins,
dicloxacillin,Beta-lactam Penicillins,
nafcillin,Beta-lactam Penicillins,
nafcillin,Beta-lactam Penicillins,
oxacillin,Beta-lactam Penicillins,
oxacillin,Beta-lactam Penicillins,
aztreonam,Beta-lactam Other,
aztreonam,Beta-lactam Other,
doripenem,Beta-lactam Other,
doripenem,Beta-lactam Other,
ertapenem,Beta-lactam Other,
ertapenem,Beta-lactam Other,
imipenem and cilastatin sodium,Beta-lactam Other,
meropenem,Beta-lactam Other,
meropenem,Beta-lactam Other,
azithromycin,Macrolides,
azithromycin,Macrolides,
azithromycin,Macrolides,
clarithromycin,Macrolides,
clarithromycin,Macrolides,
erythromycin,Macrolides,
erythromycin,Macrolides,
erythromycin,Macrolides,
erythromycin,Macrolides,
erythromycin,Macrolides,
erythromycin,Macrolides,
erythromycin,Macrolides,
erythromycin,Macrolides,
erythromycin,Macrolides,
erythromycin,Macrolides,
erythromycin,Macrolides,
fidaxomicin,Macrolides,
telithromycin,Macrolides,
besifloxacin,Quinolones,
ciprofloxacin,Quinolones,
ciprofloxacin,Quinolones,
ciprofloxacin,Quinolones,
gatifloxacin,Quinolones,
gatifloxacin,Quinolones,
gemifloxacin,Quinolones,
gemifloxacin,Quinolones,
levofloxacin,Quinolones,
levofloxacin,Quinolones,
moxifloxacin,Quinolones,
moxifloxacin,Quinolones,
norfloxacin,Quinolones,
norfloxacin,Quinolones,
ofloxacin,Quinolones,
ofloxacin,Quinolones,
sulfacetamide,Sulfonamides,
sulfacetamide,Sulfonamides,
sulfadiazine,Sulfonamides,
sulfadiazine,Sulfonamides,
sulfadiazine,Sulfonamides,
sulfamethoxazole and trimethoprim,Sulfonamides,
demeclocycline,Tetracyclines,
demeclocycline,Tetracyclines,
doxycycline,Tetracyclines,
doxycycline,Tetracyclines,
doxycycline,Tetracyclines,
doxycycline,Tetracyclines,
doxycycline,Tetracyclines,
doxycycline,Tetracyclines,
minocycline,Tetracyclines,
minocycline,Tetracyclines,
tetracycline,Tetracyclines,
tetracycline,Tetracyclines,
tetracycline,Tetracyclines,
ethosuximide,Calcium Channel Modifying Agents,
methsuximide,Calcium Channel Modifying Agents,
pregabalin,Calcium Channel Modifying Agents,
zonisamide,Calcium Channel Modifying Agents,
clobazam,Gamma-aminobutyric Acid (GABA) Augmenting Agents,
clonazepam,Gamma-aminobutyric Acid (GABA) Augmenting Agents,
clorazepate,Gamma-aminobutyric Acid (GABA) Augmenting Agents,
clorazepate,Gamma-aminobutyric Acid (GABA) Augmenting Agents,
diazepam,Gamma-aminobutyric Acid (GABA) Augmenting Agents,
lorazepam,Gamma-aminobutyric Acid (GABA) Augmenting Agents,
mephobarbital,Gamma-aminobutyric Acid (GABA) Augmenting Agents,
primidone,Gamma-aminobutyric Acid (GABA) Augmenting Agents,
divalproex,Gamma-aminobutyric Acid (GABA) Augmenting Agents,
gabapentin,Gamma-aminobutyric Acid (GABA) Augmenting Agents,
gabapentin,Gamma-aminobutyric Acid (GABA) Augmenting Agents,
primidone,Gamma-aminobutyric Acid (GABA) Augmenting Agents,
tiagabine,Gamma-aminobutyric Acid (GABA) Augmenting Agents,
tiagabine,Gamma-aminobutyric Acid (GABA) Augmenting Agents,
valproate,Gamma-aminobutyric Acid (GABA) Augmenting Agents,
valproate,Gamma-aminobutyric Acid (GABA) Augmenting Agents,
valproate,Gamma-aminobutyric Acid (GABA) Augmenting Agents,
valproate,Gamma-aminobutyric Acid (GABA) Augmenting Agents,
vigabatrin,Gamma-aminobutyric Acid (GABA) Augmenting Agents,
felbamate,Glutamate Reducing Agents,
lamotrigine,Glutamate Reducing Agents,
perampanel,Glutamate Reducing Agents,
perampanel,Glutamate Reducing Agents,
topiramate,Glutamate Reducing Agents,
carbamazepine,Sodium Channel Agents,
eslicarbazepine,Sodium Channel Agents,
eslicarbazepine,Sodium Channel Agents,
ethotoin,Sodium Channel Agents,
fosphenytoin,Sodium Channel Agents,
fosphenytoin,Sodium Channel Agents,
fosphenytoin,Sodium Channel Agents,
lacosamide,Sodium Channel Agents,
oxcarbazepine,Sodium Channel Agents,
phenytoin,Sodium Channel Agents,
phenytoin,Sodium Channel Agents,
rufinamide,Sodium Channel Agents,
levetiracetam,Anticonvulsants Other,
ezogabine,Anticonvulsants Other,
donepezil,Cholinesterase Inhibitors,
donepezil,Cholinesterase Inhibitors,
galantamine,Cholinesterase Inhibitors,
galantamine,Cholinesterase Inhibitors,
rivastigmine,Cholinesterase Inhibitors,
rivastigmine,Cholinesterase Inhibitors,
memantine,N-methyl-D-aspartate (NMDA) Receptor Antagonist,
memantine,N-methyl-D-aspartate (NMDA) Receptor Antagonist,
ergoloid mesylates,Antidementia Agents Other,
phenelzine,Monoamine Oxidase Inhibitors,
phenelzine,Monoamine Oxidase Inhibitors,
selegiline,Monoamine Oxidase Inhibitors,
selegiline,Monoamine Oxidase Inhibitors,
tranylcypromine,Monoamine Oxidase Inhibitors,
tranylcypromine,Monoamine Oxidase Inhibitors,
citalopram,SSRIs/SNRIs,
citalopram,SSRIs/SNRIs,
citalopram,SSRIs/SNRIs,
desvenlafaxine,SSRIs/SNRIs,
desvenlafaxine,SSRIs/SNRIs,
duloxetine,SSRIs/SNRIs,
duloxetine,SSRIs/SNRIs,
escitalopram,SSRIs/SNRIs,
escitalopram,SSRIs/SNRIs,
fluoxetine,SSRIs/SNRIs,
fluoxetine,SSRIs/SNRIs,
fluvoxamine,SSRIs/SNRIs,
fluvoxamine,SSRIs/SNRIs,
levomilnacipran,SSRIs/SNRIs,
levomilnacipran,SSRIs/SNRIs,
maprotiline,SSRIs/SNRIs,
maprotiline,SSRIs/SNRIs,
nefazodone,SSRIs/SNRIs,
nefazodone,SSRIs/SNRIs,
paroxetine,SSRIs/SNRIs,
paroxetine,SSRIs/SNRIs,
paroxetine,SSRIs/SNRIs,
paroxetine,SSRIs/SNRIs,
sertraline,SSRIs/SNRIs,
sertraline,SSRIs/SNRIs,
trazodone,SSRIs/SNRIs,
trazodone,SSRIs/SNRIs,
venlafaxine,SSRIs/SNRIs,
venlafaxine,SSRIs/SNRIs,
vilazodone,SSRIs/SNRIs,
vilazodone,SSRIs/SNRIs,
vortioxetine,SSRIs/SNRIs,
vortioxetine,SSRIs/SNRIs,
amitriptyline,Tricyclics,
amitriptyline,Tricyclics,
amoxapine,Tricyclics,
clomipramine,Tricyclics,
clomipramine,Tricyclics,
desipramine,Tricyclics,
desipramine,Tricyclics,
doxepin,Tricyclics,
doxepin,Tricyclics,
imipramine,Tricyclics,
imipramine,Tricyclics,
imipramine,Tricyclics,
nortriptyline,Tricyclics,
nortriptyline,Tricyclics,
protriptyline,Tricyclics,
protriptyline,Tricyclics,
trimipramine,Tricyclics,
trimipramine,Tricyclics,
bupropion,Antidepressants Other,
bupropion,Antidepressants Other,
bupropion,Antidepressants Other,
mirtazapine,Antidepressants Other,
aripiprazole,Antidepressants Other,
aripiprazole,Antidepressants Other,
aripiprazole,Antidepressants Other,
aripiprazole,Antidepressants Other,
quetiapine,Antidepressants Other,
quetiapine,Antidepressants Other,
dolasetron,Emetogenic Therapy Adjuncts,
dolasetron,Emetogenic Therapy Adjuncts,
granisetron,Emetogenic Therapy Adjuncts,
granisetron,Emetogenic Therapy Adjuncts,
ondansetron,Emetogenic Therapy Adjuncts,
ondansetron,Emetogenic Therapy Adjuncts,
palonosetron,Emetogenic Therapy Adjuncts,
palonosetron,Emetogenic Therapy Adjuncts,
aprepitant,Emetogenic Therapy Adjuncts,
aprepitant,Emetogenic Therapy Adjuncts,
nabilone,Emetogenic Therapy Adjuncts,
dronabinol,Emetogenic Therapy Adjuncts,
chlorpromazine,Antiemetics Other,
chlorpromazine,Antiemetics Other,
chlorpromazine,Antiemetics Other,
chlorpromazine,Antiemetics Other,
chlorpromazine,Antiemetics Other,
diphenhydramine,Antiemetics Other,
diphenhydramine,Antiemetics Other,
diphenhydramine,Antiemetics Other,
diphenhydramine,Antiemetics Other,
diphenhydramine,Antiemetics Other,
diphenhydramine,Antiemetics Other,
doxylamine succinate/pyridoxine hydrochloride,Antiemetics Other,
hydroxyzine,Antiemetics Other,
hydroxyzine,Antiemetics Other,
hydroxyzine,Antiemetics Other,
meclizine,Antiemetics Other,
meclizine,Antiemetics Other,
metoclopramide,Antiemetics Other,
metoclopramide,Antiemetics Other,
metoclopramide,Antiemetics Other,
perphenazine,Antiemetics Other,
perphenazine,Antiemetics Other,
perphenazine,Antiemetics Other,
perphenazine,Antiemetics Other,
perphenazine,Antiemetics Other,
perphenazine,Antiemetics Other,
prochlorperazine,Antiemetics Other,
prochlorperazine,Antiemetics Other,
prochlorperazine,Antiemetics Other,
prochlorperazine,Antiemetics Other,
promethazine,Antiemetics Other,
promethazine,Antiemetics Other,
promethazine,Antiemetics Other,
promethazine,Antiemetics Other,
promethazine,Antiemetics Other,
promethazine,Antiemetics Other,
scopolamine,Antiemetics Other,
scopolamine,Antiemetics Other,
trimethobenzamide,Antiemetics Other,
trimethobenzamide,Antiemetics Other,
dihydroergotamine,Ergot Alkaloids,
dihydroergotamine,Ergot Alkaloids,
dihydroergotamine,Ergot Alkaloids,
ergotamine,Ergot Alkaloids,
ergotamine,Ergot Alkaloids,
almotriptan,Serotonin (5-HT) 1b/1d Receptor Agonists,
almotriptan,Serotonin (5-HT) 1b/1d Receptor Agonists,
eletriptan,Serotonin (5-HT) 1b/1d Receptor Agonists,
eletriptan,Serotonin (5-HT) 1b/1d Receptor Agonists,
frovatriptan,Serotonin (5-HT) 1b/1d Receptor Agonists,
frovatriptan,Serotonin (5-HT) 1b/1d Receptor Agonists,
naratriptan,Serotonin (5-HT) 1b/1d Receptor Agonists,
naratriptan,Serotonin (5-HT) 1b/1d Receptor Agonists,
rizatriptan,Serotonin (5-HT) 1b/1d Receptor Agonists,
rizatriptan,Serotonin (5-HT) 1b/1d Receptor Agonists,
rizatriptan,Serotonin (5-HT) 1b/1d Receptor Agonists,
sumatriptan,Serotonin (5-HT) 1b/1d Receptor Agonists,
sumatriptan,Serotonin (5-HT) 1b/1d Receptor Agonists,
zolmitriptan,Serotonin (5-HT) 1b/1d Receptor Agonists,
timolol,Prophylactic,
timolol,Prophylactic,
timolol,Prophylactic,
divalproex,Prophylactic,
topiramate,Prophylactic,
valproate,Prophylactic,
valproate,Prophylactic,
valproate,Prophylactic,
valproate,Prophylactic,
ambenonium,Parasympathomimetics,
pyridostigmine,Parasympathomimetics,
bedaquiline,Antituberculars,
bedaquiline,Antituberculars,
capreomycin,Antituberculars,
capreomycin,Antituberculars,
cycloserine,Antituberculars,
ethambutol,Antituberculars,
ethambutol,Antituberculars,
ethionamide,Antituberculars,
isoniazid,Antituberculars,
isoniazid,Antituberculars,
isoniazid,Antituberculars,
isoniazid,Antituberculars,
pyrazinamide,Antituberculars,
